state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
NC,2020-09-16,"15,638","15,625","15,651",74.95,74.29,75.60,"20,865","20,788","20,942"
OH,2020-09-16,"19,964","19,882","20,045",70.76,69.81,71.70,"28,214","28,105","28,324"
OK,2020-09-16,"5,732","5,699","5,764",64.25,63.84,64.66,"8,920","8,860","8,981"
SC,2020-09-16,"7,398","7,398","7,398",80.49,80.49,80.49,"9,191","9,191","9,191"
NC,2020-09-17,"15,662","15,617","15,708",75.13,74.23,76.03,"20,848","20,759","20,937"
OH,2020-09-17,"19,806","19,729","19,883",70.19,69.15,71.23,"28,218","28,080","28,356"
OK,2020-09-17,"5,718","5,657","5,780",64.07,62.10,66.03,"8,926","8,831","9,021"
SC,2020-09-17,"7,520","7,520","7,520",81.69,81.69,81.69,"9,205","9,205","9,205"
NC,2020-09-18,"15,361","15,361","15,361",73.77,73.77,73.77,"20,822","20,764","20,880"
OH,2020-09-18,"19,647","19,566","19,728",69.82,68.88,70.77,"28,138","28,029","28,247"
OK,2020-09-18,"5,648","5,594","5,701",63.36,61.76,64.95,"8,914","8,828","8,999"
SC,2020-09-18,"7,392","7,367","7,416",80.45,79.68,81.22,"9,188","9,163","9,212"
NC,2020-09-19,"14,974","14,734","15,215",72.03,68.21,75.86,"20,788","20,460","21,116"
OH,2020-09-19,"18,929","18,709","19,149",67.75,64.91,70.59,"27,941","27,584","28,298"
OK,2020-09-19,"5,477","5,135","5,819",62.16,49.94,74.38,"8,811","8,398","9,224"
SC,2020-09-19,"7,054","7,048","7,060",78.05,77.78,78.32,"9,038","9,026","9,050"
NC,2020-09-20,"14,547","14,540","14,554",70.06,69.95,70.18,"20,763","20,753","20,773"
OH,2020-09-20,"17,912","17,771","18,053",64.12,62.22,66.03,"27,933","27,684","28,182"
OK,2020-09-20,"5,222","4,821","5,623",59.42,44.93,73.92,"8,788","8,305","9,271"
SC,2020-09-20,"6,835","6,828","6,842",75.91,75.59,76.23,"9,004","8,990","9,018"
PA,2020-08-20,"22,492","21,932","23,052",75.49,70.57,80.42,"26,957","26,341","27,573"
TN,2020-08-20,"10,964","10,932","10,996",68.57,68.57,68.57,"16,570","16,570","16,570"
WA,2020-08-20,"8,563","7,810","9,316",63.27,62.87,63.67,"9,444","9,251","9,637"
PA,2020-08-21,"22,400","21,867","22,932",75.53,70.73,80.32,"26,815","26,215","27,415"
TN,2020-08-21,"10,779","10,460","11,098",67.42,62.45,72.38,"16,569","16,470","16,668"
WA,2020-08-21,"8,718","8,008","9,427",63.54,58.48,68.59,"9,647","9,448","9,846"
PA,2020-08-22,"21,622","21,003","22,240",72.65,66.21,79.08,"26,766","25,981","27,552"
TN,2020-08-22,"10,253","9,742","10,764",64.28,64.28,64.28,"16,531","16,531","16,531"
WA,2020-08-22,"8,574","7,870","9,278",62.09,55.45,68.73,"9,640","9,375","9,906"
PA,2020-08-23,"21,052","20,479","21,625",71.05,65.11,77.00,"26,637","25,912","27,362"
TN,2020-08-23,"10,125","9,750","10,500",63.50,63.50,63.50,"16,525","16,525","16,525"
WA,2020-08-23,"8,383","7,730","9,036",60.10,53.49,66.70,"9,643","9,379","9,906"
PA,2020-08-24,"21,194","20,688","21,699",72.07,66.79,77.35,"26,463","25,833","27,092"
TN,2020-08-24,"10,513","10,160","10,866",65.86,65.86,65.86,"16,543","16,543","16,543"
WA,2020-08-24,"8,108","7,562","8,655",58.49,53.91,63.07,"9,439","9,269","9,609"
PA,2020-08-25,"22,120","21,703","22,537",75.48,70.16,80.80,"26,515","25,891","27,139"
TN,2020-08-25,"10,908","10,878","10,937",68.18,68.18,68.18,"16,552","16,552","16,552"
WA,2020-08-25,"8,377","8,181","8,573",61.13,54.08,68.18,"9,470","9,189","9,752"
PA,2020-08-26,"22,375","21,921","22,829",75.57,70.05,81.08,"26,821","26,204","27,439"
TN,2020-08-26,"11,030","10,711","11,348",69.02,69.02,69.02,"16,533","16,533","16,533"
WA,2020-08-26,"8,675","8,510","8,840",63.67,58.07,69.26,"9,481","9,273","9,689"
PA,2020-08-27,"22,452","21,909","22,995",75.90,70.31,81.48,"26,807","26,183","27,430"
TN,2020-08-27,"10,972","10,961","10,984",68.84,68.84,68.84,"16,493","16,493","16,493"
WA,2020-08-27,"8,731","8,630","8,832",63.36,59.95,66.77,"9,611","9,481","9,741"
PA,2020-08-28,"21,826","21,236","22,416",74.36,68.45,80.27,"26,587","25,932","27,242"
TN,2020-08-28,"10,835","10,825","10,845",67.98,67.98,67.98,"16,492","16,492","16,492"
WA,2020-08-28,"8,481","8,475","8,486",61.54,61.34,61.75,"9,586","9,578","9,595"
PA,2020-08-29,"20,643","20,025","21,261",71.88,69.12,74.64,"25,857","25,159","26,556"
TN,2020-08-29,"10,354","10,342","10,366",64.99,63.98,66.01,"16,484","16,385","16,583"
WA,2020-08-29,"8,242","8,090","8,394",60.16,54.51,65.80,"9,447","9,213","9,680"
PA,2020-08-30,"19,873","19,123","20,623",69.19,63.04,75.33,"25,770","24,865","26,675"
TN,2020-08-30,"10,266","10,256","10,276",64.53,64.53,64.53,"16,462","16,462","16,462"
WA,2020-08-30,"7,992","7,966","8,018",58.99,58.03,59.96,"9,384","9,346","9,423"
PA,2020-08-31,"20,390","19,861","20,918",71.01,69.36,72.65,"25,822","25,120","26,523"
TN,2020-08-31,"10,441","10,433","10,449",65.63,65.63,65.63,"16,463","16,463","16,463"
WA,2020-08-31,"7,793","7,769","7,817",56.58,55.72,57.45,"9,430","9,396","9,464"
PA,2020-09-01,"21,583","21,083","22,084",74.72,71.79,77.64,"26,117","25,317","26,917"
TN,2020-09-01,"10,747","10,747","10,747",67.54,67.54,67.54,"16,465","16,465","16,465"
WA,2020-09-01,"8,154","8,136","8,173",59.96,59.34,60.57,"9,421","9,399","9,443"
PA,2020-09-02,"21,738","21,236","22,241",74.91,73.96,75.86,"26,273","25,593","26,953"
TN,2020-09-02,"11,032","10,714","11,350",70.50,70.50,70.50,"16,202","16,202","16,202"
WA,2020-09-02,"8,415","8,399","8,431",62.10,61.45,62.75,"9,441","9,412","9,470"
PA,2020-09-03,"21,441","20,932","21,950",74.72,73.31,76.13,"26,234","25,545","26,923"
TN,2020-09-03,"11,096","11,096","11,096",71.71,71.71,71.71,"16,026","15,927","16,125"
WA,2020-09-03,"8,499","8,491","8,508",62.17,61.75,62.60,"9,455","9,433","9,476"
PA,2020-09-04,"21,066","20,568","21,565",73.41,72.79,74.02,"26,189","25,513","26,865"
TN,2020-09-04,"10,967","10,967","10,967",70.78,70.78,70.78,"16,048","16,048","16,048"
WA,2020-09-04,"8,327","8,298","8,355",61.01,59.60,62.42,"9,417","9,346","9,488"
PA,2020-09-05,"20,455","19,938","20,972",71.79,70.00,73.57,"26,014","25,313","26,715"
TN,2020-09-05,"10,357","10,357","10,357",67.05,67.05,67.05,"15,999","15,999","15,999"
WA,2020-09-05,"8,149","8,020","8,278",59.47,54.60,64.34,"9,423","9,219","9,627"
PA,2020-09-06,"19,632","19,054","20,210",69.02,65.25,72.78,"25,888","25,105","26,671"
TN,2020-09-06,"10,053","10,053","10,053",65.25,65.25,65.25,"15,959","15,959","15,959"
WA,2020-09-06,"7,842","7,659","8,025",57.50,50.78,64.22,"9,407","9,138","9,676"
PA,2020-09-07,"19,295","18,736","19,854",67.60,64.47,70.73,"25,940","25,197","26,683"
TN,2020-09-07,"10,092","10,092","10,092",65.30,65.30,65.30,"16,007","16,007","16,007"
WA,2020-09-07,"7,632","7,502","7,763",56.40,51.55,61.26,"9,386","9,190","9,583"
PA,2020-09-08,"20,005","19,435","20,575",70.17,66.59,73.74,"25,938","25,159","26,718"
TN,2020-09-08,"10,489","10,489","10,489",67.54,67.54,67.54,"16,082","16,082","16,082"
WA,2020-09-08,"7,783","7,766","7,801",57.48,56.82,58.14,"9,385","9,356","9,414"
PA,2020-09-09,"21,094","20,595","21,593",73.54,71.57,75.52,"26,194","25,508","26,879"
TN,2020-09-09,"11,011","11,005","11,017",70.88,70.88,70.88,"16,087","16,087","16,087"
WA,2020-09-09,"8,289","8,275","8,302",60.75,60.26,61.24,"9,412","9,391","9,433"
PA,2020-09-10,"21,641","21,159","22,124",75.37,72.02,78.72,"26,290","25,502","27,078"
TN,2020-09-10,"11,125","11,125","11,125",71.51,71.51,71.51,"16,110","16,110","16,110"
WA,2020-09-10,"8,463","8,455","8,471",61.51,61.22,61.81,"9,432","9,417","9,447"
PA,2020-09-11,"21,728","21,181","22,274",74.65,67.18,82.11,"26,674","25,776","27,572"
TN,2020-09-11,"11,250","11,250","11,250",71.92,71.92,71.92,"16,195","16,195","16,195"
WA,2020-09-11,"8,805","8,704","8,907",65.07,61.25,68.89,"9,431","9,271","9,591"
PA,2020-09-12,"21,135","20,627","21,643",73.33,66.03,80.64,"26,269","25,384","27,154"
TN,2020-09-12,"10,667","10,667","10,667",68.78,68.78,68.78,"16,062","15,963","16,161"
WA,2020-09-12,"8,356","8,259","8,454",61.21,57.66,64.76,"9,380","9,239","9,521"
PA,2020-09-13,"20,092","19,630","20,554",69.74,62.95,76.53,"26,189","25,354","27,025"
TN,2020-09-13,"10,429","10,429","10,429",67.28,67.28,67.28,"16,054","16,054","16,054"
WA,2020-09-13,"8,085","7,973","8,197",59.50,55.45,63.55,"9,355","9,196","9,513"
PA,2020-09-14,"20,681","20,260","21,102",71.83,65.32,78.34,"26,245","25,425","27,065"
TN,2020-09-14,"10,675","10,357","10,992",68.96,68.96,68.96,"16,032","16,032","16,032"
WA,2020-09-14,"7,915","7,757","8,072",58.62,52.65,64.58,"9,266","9,026","9,507"
PA,2020-09-15,"21,938","21,535","22,340",76.28,69.93,82.63,"26,391","25,590","27,193"
TN,2020-09-15,"11,094","10,777","11,412",71.15,71.15,71.15,"16,145","16,145","16,145"
WA,2020-09-15,"8,391","8,300","8,481",60.98,57.73,64.24,"9,422","9,293","9,551"
PA,2020-09-16,"21,876","21,405","22,347",76.01,69.09,82.92,"26,434","25,588","27,279"
TN,2020-09-16,"11,135","11,135","11,135",71.71,71.71,71.71,"16,080","16,080","16,080"
WA,2020-09-16,"8,675","8,660","8,690",63.37,62.79,63.95,"9,449","9,422","9,476"
PA,2020-09-17,"21,633","21,314","21,953",75.46,71.31,79.61,"25,475","24,719","26,230"
TN,2020-09-17,"11,116","11,116","11,116",71.52,71.52,71.52,"16,096","16,096","16,096"
WA,2020-09-17,"8,728","8,704","8,753",63.77,62.91,64.63,"9,447","9,412","9,482"
PA,2020-09-18,"21,477","21,275","21,679",74.85,72.14,77.57,"25,443","24,743","26,143"
TN,2020-09-18,"10,980","10,662","11,297",70.64,70.64,70.64,"16,096","16,096","16,096"
WA,2020-09-18,"8,726","8,505","8,948",63.61,55.12,72.11,"9,446","9,082","9,809"
PA,2020-09-19,"21,100","20,694","21,505",72.32,67.38,77.26,"25,965","25,131","26,799"
TN,2020-09-19,"10,686","10,369","11,004",69.51,69.51,69.51,"15,926","15,926","15,926"
WA,2020-09-19,"8,498","8,460","8,535",62.44,61.07,63.82,"9,408","9,351","9,464"
PA,2020-09-20,"20,384","19,889","20,879",70.10,65.01,75.18,"25,819","24,961","26,677"
TN,2020-09-20,"10,343","10,343","10,343",67.37,67.37,67.37,"15,906","15,906","15,906"
WA,2020-09-20,"8,155","8,046","8,264",59.84,56.03,63.65,"9,405","9,261","9,549"
UT,2020-08-20,"2,850","2,823","2,877",55.64,54.66,56.62,"4,993","4,896","5,090"
VA,2020-08-20,"9,078","8,519","9,637",60.72,59.94,61.51,"14,984","14,065","15,903"
WI,2020-08-20,"7,461","7,260","7,662",61.77,56.80,66.75,"12,078","11,861","12,295"
UT,2020-08-21,"2,892","2,869","2,914",56.59,56.28,56.90,"4,986","4,898","5,074"
VA,2020-08-21,"8,942","8,383","9,501",59.76,58.78,60.75,"14,996","14,077","15,915"
WI,2020-08-21,"7,378","7,169","7,586",60.94,55.54,66.34,"12,107","11,853","12,361"
UT,2020-08-22,"2,857","2,829","2,885",56.01,54.61,57.42,"4,977","4,883","5,071"
VA,2020-08-22,"8,514","7,800","9,228",56.97,46.59,67.35,"14,979","13,912","16,045"
WI,2020-08-22,"7,171","7,039","7,303",59.84,55.85,63.83,"11,984","11,753","12,215"
UT,2020-08-23,"2,769","2,742","2,796",54.37,53.01,55.72,"4,972","4,879","5,065"
VA,2020-08-23,"8,366","7,650","9,081",55.98,45.32,66.63,"14,979","13,935","16,024"
WI,2020-08-23,"6,934","6,729","7,139",57.74,52.01,63.47,"12,009","11,728","12,290"
UT,2020-08-24,"2,518","2,497","2,540",49.47,49.47,49.47,"4,983","4,896","5,070"
VA,2020-08-24,"9,930","9,203","10,656",58.95,43.98,73.92,"16,879","15,756","18,002"
WI,2020-08-24,"6,973","6,928","7,019",57.54,56.23,58.85,"12,119","12,050","12,188"
UT,2020-08-25,"2,643","2,618","2,667",51.53,49.68,53.37,"5,010","4,916","5,105"
VA,2020-08-25,"10,459","9,963","10,955",62.13,51.77,72.49,"16,867","16,055","17,679"
WI,2020-08-25,"7,440","7,268","7,611",61.32,56.95,65.68,"12,133","11,942","12,324"
UT,2020-08-26,"2,910","2,887","2,933",56.98,55.57,58.39,"4,972","4,885","5,059"
VA,2020-08-26,"10,651","10,161","11,141",63.22,53.01,73.43,"16,881","16,083","17,679"
WI,2020-08-26,"7,577","7,375","7,780",62.69,57.43,67.94,"12,088","11,850","12,326"
UT,2020-08-27,"2,841","2,818","2,865",56.06,54.59,57.53,"4,925","4,838","5,013"
VA,2020-08-27,"10,644","10,181","11,108",65.03,55.15,74.92,"16,402","15,658","17,146"
WI,2020-08-27,"7,567","7,361","7,773",62.36,56.95,67.77,"12,135","11,883","12,386"
UT,2020-08-28,"2,851","2,827","2,874",56.34,54.48,58.20,"4,917","4,822","5,012"
VA,2020-08-28,"10,477","10,023","10,931",64.06,54.41,73.72,"16,398","15,666","17,131"
WI,2020-08-28,"7,407","7,231","7,583",61.09,56.57,65.61,"12,124","11,924","12,324"
UT,2020-08-29,"2,768","2,741","2,795",54.64,52.74,56.53,"4,934","4,841","5,028"
VA,2020-08-29,"10,059","9,426","10,691",61.41,48.61,74.21,"16,434","15,538","17,331"
WI,2020-08-29,"7,079","6,940","7,219",58.40,54.10,62.69,"12,122","11,880","12,365"
UT,2020-08-30,"2,458","2,429","2,488",48.35,46.21,50.50,"4,935","4,839","5,031"
VA,2020-08-30,"9,766","9,187","10,346",59.79,48.15,71.43,"16,399","15,591","17,206"
WI,2020-08-30,"6,860","6,624","7,096",56.69,50.03,63.34,"12,102","11,766","12,437"
UT,2020-08-31,"2,552","2,531","2,572",50.13,48.65,51.62,"4,954","4,864","5,044"
VA,2020-08-31,"10,079","9,927","10,231",61.69,61.69,61.69,"16,413","16,278","16,547"
WI,2020-08-31,"6,906","6,744","7,067",56.91,52.72,61.09,"12,134","11,953","12,316"
UT,2020-09-01,"2,802","2,792","2,812",55.25,54.66,55.84,"4,950","4,869","5,031"
VA,2020-09-01,"10,090","9,669","10,510",61.58,52.93,70.23,"16,469","15,814","17,125"
WI,2020-09-01,"7,363","7,306","7,419",60.65,59.01,62.29,"12,140","12,052","12,228"
UT,2020-09-02,"2,830","2,813","2,846",55.54,54.42,56.66,"4,950","4,869","5,032"
VA,2020-09-02,"10,266","10,111","10,421",64.11,61.23,66.99,"16,108","15,792","16,424"
WI,2020-09-02,"7,495","7,464","7,527",61.70,60.73,62.67,"12,148","12,093","12,203"
UT,2020-09-03,"2,926","2,914","2,938",59.82,57.31,62.34,"4,891","4,814","4,968"
VA,2020-09-03,"10,027","9,865","10,188",64.32,62.88,65.75,"15,695","15,517","15,873"
WI,2020-09-03,"7,606","7,441","7,772",62.82,58.54,67.09,"12,109","11,915","12,302"
UT,2020-09-04,"2,843","2,831","2,855",57.84,55.41,60.27,"4,915","4,839","4,991"
VA,2020-09-04,"9,732","9,577","9,886",62.34,61.02,63.67,"15,523","15,341","15,705"
WI,2020-09-04,"7,507","7,304","7,710",62.03,56.86,67.20,"12,102","11,877","12,327"
UT,2020-09-05,"2,732","2,710","2,755",55.83,53.08,58.57,"4,894","4,814","4,975"
VA,2020-09-05,"9,472","8,859","10,086",60.85,47.74,73.95,"15,478","14,611","16,345"
WI,2020-09-05,"7,083","6,843","7,323",58.55,52.13,64.96,"12,098","11,798","12,397"
UT,2020-09-06,"2,614","2,587","2,640",53.33,50.58,56.08,"4,901","4,823","4,979"
VA,2020-09-06,"9,420","8,777","10,062",59.91,46.06,73.77,"15,632","14,732","16,531"
WI,2020-09-06,"6,814","6,565","7,064",56.34,49.62,63.06,"12,095","11,784","12,406"
UT,2020-09-07,"2,544","2,520","2,567",51.89,49.32,54.47,"4,902","4,827","4,976"
VA,2020-09-07,"9,303","8,957","9,649",59.24,52.04,66.44,"15,612","15,171","16,054"
WI,2020-09-07,"6,775","6,527","7,022",56.09,49.30,62.88,"12,078","11,754","12,401"
UT,2020-09-08,"2,532","2,518","2,547",51.90,49.85,53.94,"4,880","4,816","4,944"
VA,2020-09-08,"9,503","9,370","9,636",60.34,57.77,62.90,"15,660","15,515","15,805"
WI,2020-09-08,"6,891","6,673","7,109",57.04,51.49,62.59,"12,081","11,856","12,307"
UT,2020-09-09,"2,763","2,745","2,781",56.41,54.35,58.47,"4,898","4,839","4,958"
VA,2020-09-09,"10,219","10,093","10,345",64.77,62.37,67.16,"15,694","15,556","15,833"
WI,2020-09-09,"7,560","7,372","7,748",62.53,57.82,67.24,"12,090","11,892","12,288"
UT,2020-09-10,"2,897","2,880","2,913",58.84,57.82,59.87,"4,923","4,906","4,939"
VA,2020-09-10,"10,538","10,416","10,660",66.84,64.54,69.15,"15,684","15,550","15,819"
WI,2020-09-10,"7,709","7,543","7,876",63.77,59.53,68.01,"12,089","11,904","12,275"
UT,2020-09-11,"2,977","2,960","2,994",60.54,59.50,61.59,"4,917","4,900","4,934"
VA,2020-09-11,"10,638","10,526","10,750",67.48,65.36,69.60,"15,685","15,560","15,810"
WI,2020-09-11,"7,618","7,570","7,666",63.06,61.55,64.56,"12,081","11,995","12,167"
UT,2020-09-12,"2,865","2,842","2,888",57.89,56.33,59.46,"4,948","4,916","4,980"
VA,2020-09-12,"10,244","9,911","10,576",64.98,58.16,71.79,"15,682","15,255","16,109"
WI,2020-09-12,"7,364","7,202","7,526",60.89,56.15,65.63,"12,094","11,842","12,346"
UT,2020-09-13,"2,655","2,632","2,678",53.95,52.26,55.65,"4,921","4,884","4,959"
VA,2020-09-13,"9,936","9,617","10,255",62.89,56.26,69.52,"15,713","15,293","16,132"
WI,2020-09-13,"7,090","6,948","7,232",58.75,54.53,62.98,"12,056","11,826","12,286"
UT,2020-09-14,"2,614","2,601","2,627",53.25,52.30,54.20,"4,909","4,888","4,929"
VA,2020-09-14,"9,704","9,688","9,721",61.31,60.98,61.64,"15,740","15,688","15,792"
WI,2020-09-14,"7,177","7,058","7,296",59.60,56.19,63.02,"12,029","11,851","12,207"
UT,2020-09-15,"2,701","2,690","2,712",54.91,54.22,55.61,"4,919","4,908","4,930"
VA,2020-09-15,"10,271","10,228","10,315",64.90,63.78,66.01,"15,744","15,646","15,842"
WI,2020-09-15,"7,654","7,583","7,725",63.49,61.26,65.71,"12,042","11,913","12,171"
UT,2020-09-16,"2,986","2,973","2,999",60.40,59.58,61.21,"4,944","4,931","4,957"
VA,2020-09-16,"10,347","10,300","10,393",65.50,64.34,66.67,"15,713","15,613","15,813"
WI,2020-09-16,"7,873","7,707","8,038",65.16,60.99,69.33,"12,068","11,886","12,250"
UT,2020-09-17,"3,024","3,002","3,046",61.28,59.80,62.77,"4,934","4,904","4,965"
VA,2020-09-17,"10,112","10,095","10,129",63.98,63.66,64.31,"15,720","15,664","15,776"
WI,2020-09-17,"7,817","7,629","8,005",64.75,60.06,69.43,"12,053","11,854","12,252"
UT,2020-09-18,"3,042","3,025","3,059",61.42,60.16,62.68,"4,953","4,925","4,981"
VA,2020-09-18,"10,070","10,070","10,070",64.05,64.05,64.05,"15,638","15,585","15,691"
WI,2020-09-18,"7,716","7,508","7,923",64.03,58.81,69.25,"12,036","11,814","12,258"
UT,2020-09-19,"2,851","2,827","2,875",58.35,56.56,60.14,"4,886","4,846","4,926"
VA,2020-09-19,"9,827","9,483","10,171",62.34,55.17,69.52,"15,676","15,221","16,131"
WI,2020-09-19,"7,470","7,226","7,714",61.85,55.38,68.31,"12,065","11,763","12,367"
UT,2020-09-20,"2,674","2,647","2,701",54.53,52.53,56.52,"4,904","4,860","4,948"
VA,2020-09-20,"9,491","9,099","9,883",60.23,52.01,68.44,"15,669","15,152","16,186"
WI,2020-09-20,"7,183","6,917","7,449",59.49,52.34,66.63,"12,065","11,729","12,401"
WV,2020-08-20,"4,056","4,056","4,056",72.81,72.81,72.81,"5,571","5,571","5,571"
WY,2020-08-20,587,581,593,40.23,40.23,40.23,"1,459","1,414","1,504"
WV,2020-08-21,"3,935","3,935","3,935",70.57,70.57,70.57,"5,576","5,576","5,576"
WY,2020-08-21,585,568,602,38.26,34.32,42.20,"1,529","1,477","1,581"
WV,2020-08-22,"3,704","3,704","3,704",66.43,66.43,66.43,"5,576","5,576","5,576"
WY,2020-08-22,552,536,569,40.09,34.33,45.86,"1,378","1,311","1,445"
WV,2020-08-23,"3,628","3,628","3,628",65.24,65.24,65.24,"5,561","5,561","5,561"
WY,2020-08-23,550,544,556,39.88,39.88,39.88,"1,379","1,334","1,424"
WV,2020-08-24,"3,661","3,661","3,661",64.37,64.37,64.37,"5,687","5,687","5,687"
WY,2020-08-24,540,534,546,37.14,37.14,37.14,"1,454","1,409","1,499"
WV,2020-08-25,"3,874","3,874","3,874",68.08,68.08,68.08,"5,690","5,690","5,690"
WY,2020-08-25,587,581,593,40.21,39.15,41.26,"1,460","1,414","1,506"
WV,2020-08-26,"4,021","4,021","4,021",70.73,70.73,70.73,"5,685","5,685","5,685"
WY,2020-08-26,592,583,600,42.80,39.82,45.79,"1,382","1,329","1,435"
WV,2020-08-27,"3,967","3,967","3,967",69.68,69.68,69.68,"5,693","5,693","5,693"
WY,2020-08-27,607,530,684,43.81,22.97,64.65,"1,385","1,248","1,522"
WV,2020-08-28,"3,957","3,957","3,957",69.52,69.52,69.52,"5,692","5,692","5,692"
WY,2020-08-28,597,507,687,41.07,17.38,64.76,"1,454","1,293","1,615"
WV,2020-08-29,"3,757","3,757","3,757",66.13,66.13,66.13,"5,681","5,681","5,681"
WY,2020-08-29,591,491,691,42.65,14.20,71.10,"1,385","1,190","1,580"
WV,2020-08-30,"3,579","3,579","3,579",63.03,63.03,63.03,"5,678","5,678","5,678"
WY,2020-08-30,586,484,688,40.86,12.52,69.19,"1,435","1,238","1,632"
WV,2020-08-31,"3,705","3,705","3,705",65.06,65.06,65.06,"5,695","5,695","5,695"
WY,2020-08-31,583,455,711,40.62,6.34,74.90,"1,435","1,213","1,657"
WV,2020-09-01,"3,833","3,833","3,833",67.15,67.15,67.15,"5,708","5,708","5,708"
WY,2020-09-01,563,467,659,39.06,13.44,64.67,"1,441","1,277","1,605"
WV,2020-09-02,"3,916","3,916","3,916",68.69,68.69,68.69,"5,701","5,701","5,701"
WY,2020-09-02,558,469,646,36.90,14.18,59.62,"1,511","1,361","1,661"
WV,2020-09-03,"3,981","3,981","3,981",69.83,69.83,69.83,"5,701","5,701","5,701"
WY,2020-09-03,563,488,638,37.39,18.01,56.78,"1,505","1,377","1,633"
WV,2020-09-04,"3,875","3,875","3,875",67.97,67.97,67.97,"5,701","5,701","5,701"
WY,2020-09-04,555,539,571,36.71,30.79,42.64,"1,511","1,451","1,571"
WV,2020-09-05,"3,706","3,706","3,706",65.05,65.05,65.05,"5,697","5,697","5,697"
WY,2020-09-05,543,525,562,35.96,29.40,42.53,"1,511","1,446","1,576"
WV,2020-09-06,"3,494","3,494","3,494",61.49,61.49,61.49,"5,682","5,682","5,682"
WY,2020-09-06,538,514,562,35.62,27.73,43.50,"1,511","1,438","1,584"
WV,2020-09-07,"3,536","3,536","3,536",62.36,62.36,62.36,"5,670","5,670","5,670"
WY,2020-09-07,537,517,556,35.53,28.90,42.16,"1,511","1,447","1,575"
WV,2020-09-08,"3,584","3,582","3,586",62.98,62.98,62.98,"5,691","5,691","5,691"
WY,2020-09-08,528,510,546,34.92,28.81,41.02,"1,511","1,452","1,570"
WV,2020-09-09,"3,810","3,810","3,810",66.95,66.95,66.95,"5,691","5,691","5,691"
WY,2020-09-09,518,497,539,34.51,27.74,41.27,"1,502","1,441","1,563"
WV,2020-09-10,"3,967","3,967","3,967",69.69,69.69,69.69,"5,692","5,692","5,692"
WY,2020-09-10,563,547,579,37.51,33.47,41.54,"1,501","1,474","1,528"
WV,2020-09-11,"3,855","3,855","3,855",67.74,67.74,67.74,"5,691","5,691","5,691"
WY,2020-09-11,590,590,590,39.07,39.07,39.07,"1,510","1,510","1,510"
WV,2020-09-12,"3,702","3,702","3,702",65.24,65.24,65.24,"5,674","5,674","5,674"
WY,2020-09-12,561,486,636,37.13,18.03,56.23,"1,510","1,387","1,633"
WV,2020-09-13,"3,559","3,559","3,559",62.74,62.74,62.74,"5,673","5,673","5,673"
WY,2020-09-13,560,472,649,37.26,14.70,59.81,"1,504","1,359","1,649"
WV,2020-09-14,"3,566","3,566","3,566",62.68,62.68,62.68,"5,689","5,689","5,689"
WY,2020-09-14,520,423,618,34.47,8.39,60.55,"1,510","1,330","1,690"
WV,2020-09-15,"3,876","3,876","3,876",68.10,68.10,68.10,"5,692","5,692","5,692"
WY,2020-09-15,551,461,640,36.61,13.61,59.62,"1,504","1,356","1,652"
WV,2020-09-16,"3,961","3,961","3,961",69.60,69.60,69.60,"5,691","5,691","5,691"
WY,2020-09-16,559,484,634,37.04,17.93,56.16,"1,510","1,387","1,633"
WV,2020-09-17,"3,946","3,946","3,946",69.25,69.25,69.25,"5,698","5,698","5,698"
WY,2020-09-17,564,564,564,37.35,37.35,37.35,"1,510","1,510","1,510"
WV,2020-09-18,"3,873","3,873","3,873",69.05,69.05,69.05,"5,609","5,609","5,609"
WY,2020-09-18,568,568,568,37.59,37.59,37.59,"1,511","1,511","1,511"
WV,2020-09-19,"3,830","3,830","3,830",71.40,71.40,71.40,"5,364","5,364","5,364"
WY,2020-09-19,567,491,643,37.52,17.47,57.58,"1,511","1,368","1,654"
WV,2020-09-20,"3,608","3,606","3,610",67.72,67.56,67.88,"5,328","5,324","5,332"
WY,2020-09-20,547,535,559,36.20,28.90,43.50,"1,511","1,426","1,596"
